акт, 627, 192 
6.007, 554, 206 
5.120, 1167, 262 
1.3, 1179, 275 
1.5, 1167, 290 
5.004, 941, 314 
1.4, 1180, 321 
1.7, 1178, 364 
1.14, 1090, 356 
стол зел, 925, 378 
физра, 473, 385 
8.114, 517, 389 
8.115, 553, 382 
6.000, 1118, 376 
1.9, 1176, 374 
1.10, 1151, 376 
8.200, 926, 412 
1.15, 1086, 425 
1.17, 1100, 425 
5.003, 926, 441 
5.007, 351, 487 
8.113, 462, 464 
1.18, 1100, 485 
8.112, 397, 479 
6.003, 926, 478 
1.101, 495, 493 
5.121, 1085, 485 
8.201, 698, 526 
стол гол, 818, 500 
8.103, 996, 509 
8.104, 927, 503 
8.117, 870, 503 
8.100, 1088, 503 
8.101, 1018, 505 
8.111, 449, 519 
1.19, 1100, 525 
1.99, 545, 521 
1.111, 333, 493 
6.006, 476, 518 
8.102, 1018, 539 
8.108, 800, 540 
6.004, 782, 555 
разд с, 870, 544 
5.006, 605, 568 
1.22, 1070, 535 
1.21, 1100, 540 
1.97, 530, 529 
6.005, 666, 548 
6.001, 1044, 538 
разд м, 948, 575 
5.005, 837, 564 
1.75, 717, 552 
1.109, 415, 554 
1.27, 1021, 606 
1.93, 651, 573 
1.74, 747, 576 
вход, 905, 606 
1.94, 629, 598 
1.73, 780, 601 
5.002, 964, 616 
1.28, 1022, 646 
6.002, 1012, 640 
1.31, 1013, 666 
1.29, 1022, 658 
1.30, 1013, 679 
